
# Curve 0 of 1, 501 points
# x y type
  10.28363     -93.4534647991  i
  10.28568     -93.4534797507  i
  10.28773     -93.4534940826  i
  10.28979     -93.4535077963  i
  10.29184     -93.4535208929  i
  10.29389     -93.4535333737  i
  10.29594     -93.4535452399  i
  10.29800     -93.4535564929  i
  10.30005     -93.4535671339  i
  10.30210     -93.4535771641  i
  10.30416     -93.4535865848  i
  10.30621     -93.4535953973  i
  10.30826     -93.4536036028  i
  10.31031     -93.4536112026  i
  10.31237     -93.4536181979  i
  10.31442     -93.4536245900  i
  10.31647     -93.4536303801  i
  10.31852     -93.4536355692  i
  10.32058     -93.4536401582  i
  10.32263     -93.4536441479  i
  10.32468     -93.4536475394  i
  10.32673     -93.4536503334  i
  10.32879     -93.4536525309  i
  10.33084     -93.4536541329  i
  10.33289     -93.4536551401  i
  10.33494     -93.4536555536  i
  10.33700     -93.4536553742  i
  10.33905     -93.4536546029  i
  10.34110     -93.4536532405  i
  10.34316     -93.4536512880  i
  10.34521     -93.4536487462  i
  10.34726     -93.4536456161  i
  10.34931     -93.4536418986  i
  10.35137     -93.4536375945  i
  10.35342     -93.4536327049  i
  10.35547     -93.4536272305  i
  10.35752     -93.4536211724  i
  10.35958     -93.4536145314  i
  10.36163     -93.4536073083  i
  10.36368     -93.4535995043  i
  10.36573     -93.4535911200  i
  10.36779     -93.4535821566  i
  10.36984     -93.4535726153  i
  10.37189     -93.4535624975  i
  10.37394     -93.4535518047  i
  10.37600     -93.4535405381  i
  10.37805     -93.4535286993  i
  10.38010     -93.4535162896  i
  10.38215     -93.4535033104  i
  10.38421     -93.4534897630  i
  10.38626     -93.4534756490  i
  10.38831     -93.4534609696  i
  10.39037     -93.4534457263  i
  10.39242     -93.4534299205  i
  10.39447     -93.4534135535  i
  10.39652     -93.4533966268  i
  10.39858     -93.4533791417  i
  10.40063     -93.4533610997  i
  10.40268     -93.4533425021  i
  10.40473     -93.4533233503  i
  10.40679     -93.4533036457  i
  10.40884     -93.4532833898  i
  10.41089     -93.4532625839  i
  10.41294     -93.4532412293  i
  10.41500     -93.4532193276  i
  10.41705     -93.4531968800  i
  10.41910     -93.4531738880  i
  10.42115     -93.4531503525  i
  10.42321     -93.4531262746  i
  10.42526     -93.4531016553  i
  10.42731     -93.4530764956  i
  10.42937     -93.4530507964  i
  10.43142     -93.4530245588  i
  10.43347     -93.4529977838  i
  10.43552     -93.4529704723  i
  10.43758     -93.4529426255  i
  10.43963     -93.4529142442  i
  10.44168     -93.4528853294  i
  10.44373     -93.4528558823  i
  10.44579     -93.4528259037  i
  10.44784     -93.4527953946  i
  10.44989     -93.4527643561  i
  10.45194     -93.4527327892  i
  10.45400     -93.4527006949  i
  10.45605     -93.4526680741  i
  10.45810     -93.4526349278  i
  10.46015     -93.4526012572  i
  10.46221     -93.4525670630  i
  10.46426     -93.4525323465  i
  10.46631     -93.4524971085  i
  10.46837     -93.4524613500  i
  10.47042     -93.4524250721  i
  10.47247     -93.4523882758  i
  10.47452     -93.4523509621  i
  10.47658     -93.4523131321  i
  10.47863     -93.4522747868  i
  10.48068     -93.4522359272  i
  10.48273     -93.4521965544  i
  10.48479     -93.4521566695  i
  10.48684     -93.4521162734  i
  10.48889     -93.4520753672  i
  10.49094     -93.4520339520  i
  10.49300     -93.4519920288  i
  10.49505     -93.4519495985  i
  10.49710     -93.4519066624  i
  10.49915     -93.4518632213  i
  10.50121     -93.4518192764  i
  10.50326     -93.4517748287  i
  10.50531     -93.4517298792  i
  10.50736     -93.4516844289  i
  10.50942     -93.4516384789  i
  10.51147     -93.4515920303  i
  10.51352     -93.4515450841  i
  10.51558     -93.4514976412  i
  10.51763     -93.4514497029  i
  10.51968     -93.4514012700  i
  10.52173     -93.4513523437  i
  10.52379     -93.4513029249  i
  10.52584     -93.4512530147  i
  10.52789     -93.4512026141  i
  10.52994     -93.4511517242  i
  10.53200     -93.4511003460  i
  10.53405     -93.4510484805  i
  10.53610     -93.4509961287  i
  10.53815     -93.4509432918  i
  10.54021     -93.4508899706  i
  10.54226     -93.4508361662  i
  10.54431     -93.4507818798  i
  10.54636     -93.4507271122  i
  10.54842     -93.4506718645  i
  10.55047     -93.4506161378  i
  10.55252     -93.4505599331  i
  10.55458     -93.4505032514  i
  10.55663     -93.4504460937  i
  10.55868     -93.4503884612  i
  10.56073     -93.4503303547  i
  10.56279     -93.4502717754  i
  10.56484     -93.4502127242  i
  10.56689     -93.4501532022  i
  10.56894     -93.4500932105  i
  10.57100     -93.4500327500  i
  10.57305     -93.4499718218  i
  10.57510     -93.4499104267  i
  10.57715     -93.4498485656  i
  10.57921     -93.4497862394  i
  10.58126     -93.4497234489  i
  10.58331     -93.4496601950  i
  10.58536     -93.4495964785  i
  10.58742     -93.4495323002  i
  10.58947     -93.4494676612  i
  10.59152     -93.4494025621  i
  10.59357     -93.4493370039  i
  10.59563     -93.4492709875  i
  10.59768     -93.4492045136  i
  10.59973     -93.4491375831  i
  10.60179     -93.4490701969  i
  10.60384     -93.4490023559  i
  10.60589     -93.4489340609  i
  10.60794     -93.4488653128  i
  10.61000     -93.4487961123  i
  10.61205     -93.4487264605  i
  10.61410     -93.4486563581  i
  10.61615     -93.4485858060  i
  10.61821     -93.4485148050  i
  10.62026     -93.4484433561  i
  10.62231     -93.4483714600  i
  10.62436     -93.4482991178  i
  10.62642     -93.4482263314  i
  10.62847     -93.4481531026  i
  10.63052     -93.4480794336  i
  10.63257     -93.4480053263  i
  10.63463     -93.4479307826  i
  10.63668     -93.4478558046  i
  10.63873     -93.4477803942  i
  10.64079     -93.4477045535  i
  10.64284     -93.4476282845  i
  10.64489     -93.4475515891  i
  10.64694     -93.4474744693  i
  10.64900     -93.4473969272  i
  10.65105     -93.4473189646  i
  10.65310     -93.4472405836  i
